i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
56,23.310515686432275,8.132359,1.1100932,0.005533,sald-128-1m,File(sald-128-1k),0.000558,0.003332,0.009502
57,71.82928198401282,1.572566,1.0131252,0.011256,sald-128-1m,File(sald-128-1k),0.884806,1.0,1.0
58,12.042152046533303,4.7487516,1.070632,0.009703,sald-128-1m,File(sald-128-1k),0.00035,0.003551,0.014517
59,14.699425481904631,3.0252538,1.0355105,0.010057,sald-128-1m,File(sald-128-1k),0.002666,0.057339,0.379855
60,20.854858396106238,2.3461418,1.0364715,0.003143,sald-128-1m,File(sald-128-1k),0.013027,0.305415,0.903356
61,26.49611124642766,2.169446,1.0416206,0.006634,sald-128-1m,File(sald-128-1k),0.03846,0.825859,1.0
62,28.13705835398643,2.1569557,1.0370172,0.004119,sald-128-1m,File(sald-128-1k),0.062626,0.740684,1.0
63,12.967544701115177,7.2925076,1.1052566,0.006276,sald-128-1m,File(sald-128-1k),0.000205,0.001785,0.005678
64,24.654258227610004,3.0271018,1.0283204,0.008723,sald-128-1m,File(sald-128-1k),0.011091,0.110413,0.480267
65,24.277129866574654,1.8476045,1.0167066,0.007074,sald-128-1m,File(sald-128-1k),0.041374,0.999989,1.0
66,20.69311993763899,4.34096,1.0582907,0.003304,sald-128-1m,File(sald-128-1k),0.001274,0.013753,0.060328
67,31.667620473567656,2.428065,1.0507548,0.058868,sald-128-1m,File(sald-128-1k),0.052954,0.4563,0.959448
68,34.31183136556345,2.2997792,1.028032,0.022176,sald-128-1m,File(sald-128-1k),0.071115,0.581138,1.0
69,10.77884915727863,2.7730792,1.0580615,0.008942,sald-128-1m,File(sald-128-1k),0.000671,0.021914,0.211897
70,9.04017180842158,2.7101321,1.0347023,0.005686,sald-128-1m,File(sald-128-1k),0.001899,0.085946,0.529531
71,17.65876397228708,2.8670049,1.0345026,0.002889,sald-128-1m,File(sald-128-1k),0.006432,0.114956,0.600561
72,17.670257987596404,2.0203736,1.049188,0.004929,sald-128-1m,File(sald-128-1k),0.015614,0.769691,1.0
73,15.633398405650576,3.0080118,1.0486652,0.017734,sald-128-1m,File(sald-128-1k),0.001539,0.054091,0.351011
74,42.861797235724076,1.769027,1.013077,0.003691,sald-128-1m,File(sald-128-1k),0.316797,1.0,1.0
75,20.83699588102402,2.1491563,1.0527481,0.004795,sald-128-1m,File(sald-128-1k),0.011646,0.739749,1.0
76,24.723587018110308,1.8137228,1.0236759,0.018257,sald-128-1m,File(sald-128-1k),0.144171,1.0,1.0
77,31.36746656668023,7.261373,1.0635101,0.003354,sald-128-1m,File(sald-128-1k),0.000563,0.00294,0.008237
78,34.68940956282456,1.9067484,1.0214792,0.049606,sald-128-1m,File(sald-128-1k),0.141242,0.986311,1.0
