dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),526,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00472261905670166,0.000363,1.0
sald-128-1m,File(sald-128-1k),527,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.00036790370941162107,0.000874,1.0
sald-128-1m,File(sald-128-1k),528,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0005018949508666992,0.001494,1.0
sald-128-1m,File(sald-128-1k),529,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008469581604003906,0.000568,1.0
sald-128-1m,File(sald-128-1k),530,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.010458970069885254,0.000167,1.0
sald-128-1m,File(sald-128-1k),531,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.000467681884765625,0.001334,1.0
sald-128-1m,File(sald-128-1k),532,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.00036542415618896485,0.000978,1.0
sald-128-1m,File(sald-128-1k),533,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.00025961399078369143,0.000315,1.0
sald-128-1m,File(sald-128-1k),534,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.008319902420043945,0.001442,1.0
sald-128-1m,File(sald-128-1k),535,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.008159255981445313,0.001895,1.0
sald-128-1m,File(sald-128-1k),536,faiss_hnsw,0.95,"{""efSearch"": 2, ""index_params"": ""HNSW32""}",0.00877392292022705,0.000286,1.0
sald-128-1m,File(sald-128-1k),537,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008652377128601074,0.001201,1.0
sald-128-1m,File(sald-128-1k),538,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.007543492317199707,0.001169,1.0
sald-128-1m,File(sald-128-1k),539,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.00807783603668213,0.001826,1.0
